क्रमाङ्क,पदाः
76,"['आश्चर्यवत्', 'पश्यति', 'कश्चित्', 'एनम्', 'आश्चर्यवत्', 'वदति', 'तथा', 'एव', 'च', 'अन्यस्', '।', 'आश्चर्यवत्', 'च', 'एनम्', 'अन्यस्', 'शृणोति', 'श्रुत्वा', 'अपि', 'एनम्', 'वेद', 'न', 'च', 'एव', 'कश्चित्', '॥']"
77,"['देही', 'नित्यम्', 'अवध्यस्', 'अयम्', 'देहे', 'सर्वस्य', 'भारत', '।', 'तस्मात्', 'सर्वाणि', 'भूतानि', 'न', 'त्वम्', 'शोचितुम्', 'अर्हसि', '॥']"
78,"['स्वधर्मम्', 'अपि', 'च', 'अवेक्ष्य', 'न', 'विकम्पितुम्', 'अर्हसि', '।', 'धर्म्यात्', 'हि', 'युद्धात्', 'श्रेयस्', 'अन्यत्', 'क्षत्रियस्य', 'न', 'विद्यते', '॥']"
79,"['यदृच्छया', 'च', 'उपपन्नम्', 'स्वर्गद्वारम्', 'अपावृतम्', '।', 'सुखिनस्', 'क्षत्रियास्', 'पार्थ', 'लभन्ते', 'युद्धम्', 'ईदृशम्', '॥']"
80,"['अथ', 'चेत्', 'त्वम्', 'इमम्', 'धर्म्यम्', 'सङ्ग्रामम्', 'न', 'करिष्यसि', '।', 'ततस्', 'स्वधर्मम्', 'कीर्तिम्', 'च', 'हित्वा', 'पापम्', 'अवाप्स्यसि', '॥']"
81,"['अकीर्तिम्', 'च', 'अपि', 'भूतानि', 'कथयिष्यन्ति', 'ते', 'अव्ययाम्', '।', 'सम्भावितस्य', 'च', 'अकीर्तिस्', 'मरणात्', 'अतिरिच्यते', '॥']"
82,"['भयात्', 'रणात्', 'उपरतम्', 'मंस्यन्ते', 'त्वाम्', 'महारथास्', '।', 'येषाम्', 'च', 'त्वम्', 'बहुमतस्', 'भूत्वा', 'यास्यसि', 'लाघवम्', '॥']"
83,"['अवाच्यवादान्', 'च', 'बहून्', 'वदिष्यन्ति', 'तव', 'अहितास्', '।', 'निन्दन्तस्', 'तव', 'सामर्थ्यम्', 'ततस्', 'दुःखतरम्', 'नु', 'किम्', '॥']"
84,"['हतस्', 'वा', 'प्राप्स्यसि', 'स्वर्गम्', 'जित्वा', 'वा', 'भोक्ष्यसे', 'महीम्', '।', 'तस्मात्', 'उत्तिष्ठ', 'कौन्तेय', 'युद्धाय', 'कृतनिश्चयस्', '॥']"
85,"['सुखदुःखे', 'समे', 'कृत्वा', 'लाभालाभौ', 'जयाजयौ', '।', 'ततस्', 'युद्धाय', 'युज्यस्व', 'न', 'एवम्', 'पापम्', 'अवाप्स्यसि', '॥']"
86,"['एषा', 'ते', 'अभिहिता', 'साङ्ख्ये', 'बुद्धिरस्', 'योगे', 'तु', 'इमाम्', 'शृणु', '।', 'बुद्ध्या', 'युक्तस्', 'यया', 'पार्थ', 'कर्मबन्धम्', 'प्रहास्यसि', '॥']"
87,"['न', 'इह', 'अभिक्रमनाशस्', 'अस्ति', 'प्रत्यवायस्', 'न', 'विद्यते', '।', 'स्वल्पम्', 'अपि', 'अस्य', 'धर्मस्य', 'त्रायते', 'महतस्', 'भयात्', '॥']"
88,"['व्यवसायात्मिका', 'बुद्धिस्', 'एक', 'इह', 'कुरुनन्दन', '।', 'बहुशाखास्', 'हि', 'अनन्तास्', 'च', 'बुद्धयस्', 'अव्यवसायिनाम्', '॥']"
89,"['याम्', 'इमाम्', 'पुष्पिताम्', 'वाचम्', 'प्रवदन्ति', 'अविपश्चितस्', '।', 'वेदवादरतास्', 'पार्थ', 'न', 'अन्यत्', 'अस्ति', 'इति', 'वादिनस्', '॥']"
90,"['कामात्मानस्', 'स्वर्गपरास्', 'जन्मकर्मफलप्रदाम्', '।', 'क्रियाविशेषबहुलाम्', 'भोगैश्वर्यगतिम्', 'प्रति', '॥']"
91,"['भोगैश्वर्यप्रसक्तानाम्', 'तया', 'अपहृतचेतसाम्', '।', 'व्यवसायात्मिका', 'बुद्धिस्', 'समाधौ', 'न', 'विधीयते', '॥']"
92,"['त्रैगुण्यविषयास्', 'वेदास्', 'निस्त्रैगुण्यस्', 'भव', 'अर्जुन', '।', 'निर्द्वन्द्वस्', 'नित्यसत्त्वस्थस्', 'निर्योगक्षेमस्', 'आत्मवान्', '॥']"
93,"['यावान्', 'अर्थस्', 'उदपाने', 'सर्वतस्', 'सम्प्लुतोदके', '।', 'तावान्', 'सर्वेषु', 'वेदेषु', 'ब्राह्मणस्य', 'विजानतस्', '॥']"
94,"['कर्मणि', 'एव', 'अधिकारस्', 'ते', 'मा', 'फलेषु', 'कदाचन', '।', 'मा', 'कर्मफलहेतुस्', 'भूस्', 'मा', 'ते', 'सङ्गस्', 'अस्तु', 'अकर्मणि', '॥']"
95,"['योगस्थस्', 'कुरु', 'कर्माणि', 'सङ्गम्', 'त्यक्त्वा', 'धनञ्जय', '।', 'सिद्ध्यसिद्ध्योस्', 'समस्', 'भूत्वा', 'समत्वम्', 'योगस्', 'उच्यते', '॥']"
96,"['दूरेण', 'हि', 'अवरम्', 'कर्म', 'बुद्धियोगादत्', 'धनञ्जय', '।', 'बुद्धौ', 'शरणम्', 'अन्विच्छ', 'कृपणास्', 'फलहेतवस्', '॥']"
97,"['बुद्धियुक्तस्', 'जहाति', 'इह', 'उभे', 'सुकृतदुष्कृते', '।', 'तस्मादत्', 'योगाय', 'युज्यस्व', 'योगस्', 'कर्मसु', 'कौशलम्', '॥']"
98,"['कर्मजम्', 'बुद्धियुक्तास्', 'हि', 'फलम्', 'त्यक्त्वा', 'मनीषिणस्', '।', 'जन्मबन्धविनिर्मुक्तास्', 'पदम्', 'गच्छन्ति', 'अनामयम्', '॥']"
